,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
142,Google,github.com/google/googleapis.dart,6.7,10,0,10,0,8,10,10,10,0,10,10,-1,7,0,10,-1,0,10
143,Google,github.com/google/bottery,5.1,10,0,0,0,3,0,10,0,0,10,0,-1,10,0,10,-1,10,10
144,Google,github.com/google/bottery,5.1,10,0,0,0,3,0,10,0,0,10,0,-1,10,0,10,-1,10,10
145,Google,github.com/google/dart_cli_pkg,5.4,10,0,10,0,10,10,10,0,0,10,2,-1,7,0,10,-1,0,10
146,Google,github.com/google/openrtb-doubleclick,5.5,10,0,0,0,3,3,10,0,0,10,4,-1,10,0,10,-1,10,10
147,Google,github.com/google/volux-gan,5.2,10,0,-1,0,0,0,10,0,0,10,3,-1,10,0,10,-1,10,10
148,Google,github.com/google/mannequinchallenge,4.9,10,0,0,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
149,Google,github.com/google/mannequinchallenge,4.9,10,0,0,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
150,Google,github.com/google/sxg-rs,7.4,10,6,10,0,10,10,10,10,0,10,10,-1,7,0,10,-1,0,10
151,Google,github.com/google/dv-3po,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
152,Google,github.com/google/web-api-gateway,5.8,9,6,0,0,9,0,10,0,0,10,0,-1,7,0,10,-1,10,10
153,Google,github.com/google/matched_markets,6.6,10,0,-1,0,10,0,10,0,-1,10,0,-1,10,-1,10,-1,10,10
154,Google,github.com/google/extra-keyboards-for-chrome-os,5.4,10,0,0,0,5,6,10,0,0,10,0,-1,10,0,10,-1,10,10
155,Google,github.com/google/consent-based-conversion-adjustments,5.8,10,0,-1,0,9,0,10,0,0,10,0,-1,10,0,10,-1,10,10
156,Google,github.com/google/pik,5.4,10,0,10,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
157,Google,github.com/google/h2e_technical_documentation,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
158,Google,github.com/google/Legilimency,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
159,Google,github.com/google/HardwarePrototypingToolkit,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
160,Google,github.com/google/voice-builder,5.4,10,0,0,0,10,0,10,0,0,10,0,-1,-1,0,10,-1,10,10
161,Google,github.com/google/nodejs-container-image-builder,5.4,10,0,3,0,4,3,10,0,0,10,0,-1,10,0,10,-1,10,10
162,Google,github.com/google/MOE,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
163,Google,github.com/google/file.dart,5.1,10,0,8,0,9,10,10,0,0,10,0,-1,7,0,10,-1,0,10
164,Google,github.com/google/safevalues,6.8,10,3,0,0,9,6,10,0,0,10,10,-1,10,0,10,-1,10,10
165,Google,github.com/google/energysimulation,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
166,Google,github.com/google/ml_collections,5.7,10,3,6,0,8,10,10,0,0,10,5,-1,9,0,10,-1,0,10
167,Google,github.com/google/idris-protobuf,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
168,Google,github.com/google/play-unity-plugins,6.0,8,0,-1,0,10,0,10,0,0,10,10,-1,10,0,10,0,10,10
169,Google,github.com/google/array_record,6.0,10,0,0,0,10,0,10,0,0,10,4,-1,10,0,10,-1,10,10
170,Google,github.com/google/covid19-face-shield,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
171,Google,github.com/google/cornerstoneWebImageLoader,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
172,Google,github.com/google/pytruth,5.0,10,0,0,0,1,3,10,0,0,10,0,-1,10,0,10,-1,10,10
173,Google,github.com/google/traceur-compiler,5.4,10,0,10,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
174,Google,github.com/google/exposure-notifications-internals,4.1,9,0,0,0,2,6,10,0,0,10,0,-1,7,0,10,-1,0,10
175,Google,github.com/google/lullaby,5.0,10,0,0,0,1,3,10,0,0,10,0,-1,10,0,10,-1,10,10
176,Google,github.com/google/fastboot-mobile,4.9,9,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
177,Google,github.com/google/prediction_framework,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
178,Google,github.com/google/autofdo,5.2,10,0,0,0,4,10,10,0,0,10,2,-1,10,0,10,0,10,10
179,Google,github.com/google/html-quiz,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
