,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
115,Apache,github.com/apache/tiles,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
116,Apache,github.com/apache/xmlgraphics-fop,5.3,0,0,-1,0,0,10,10,0,0,10,10,-1,10,0,10,-1,10,10
117,Apache,github.com/apache/nutch,5.4,9,0,-1,0,4,10,10,0,0,10,10,-1,7,0,10,-1,0,10
118,Apache,github.com/apache/tapestry3,4.3,0,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
119,Apache,github.com/apache/geronimo-yoko,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
120,Apache,github.com/apache/toolchain,4.8,9,0,0,0,0,10,10,0,0,0,0,-1,10,0,10,-1,10,10
121,Apache,github.com/apache/olingo-odata2,5.4,10,0,0,0,3,10,10,0,0,10,0,-1,10,0,10,-1,10,10
122,Apache,github.com/apache/tuscany-sca-cpp,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
123,Apache,github.com/apache/ant-antlibs-compress,5.0,10,0,-1,0,0,10,10,0,0,0,0,-1,10,0,10,-1,10,10
124,Apache,github.com/apache/servicemix-maven-plugins,5.1,10,0,0,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
125,Apache,github.com/apache/wookie,5.0,8,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
126,Apache,github.com/apache/creadur-rat,6.6,9,3,10,0,3,10,10,10,0,10,10,-1,9,0,10,-1,0,10
127,Apache,github.com/apache/maven-integration-testing,4.5,0,0,3,0,6,10,10,0,0,0,10,-1,7,0,10,-1,0,10
128,Apache,github.com/apache/activemq-openwire,5.2,10,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
129,Apache,github.com/apache/continuum,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
130,Apache,github.com/apache/couchdb-folsom,5.4,10,0,0,0,2,10,10,0,0,10,1,-1,10,0,10,-1,10,10
131,Apache,github.com/apache/harmony,4.4,0,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
132,Apache,github.com/apache/cloudstack-docs-rn,5.5,10,3,0,0,2,10,10,0,0,10,0,-1,10,0,10,-1,10,10
133,Apache,github.com/apache/commons-ognl,6.6,10,3,10,0,4,10,10,10,0,10,4,-1,7,9,10,-1,0,10
134,Apache,github.com/apache/parquet-mr,6.4,10,3,10,0,10,10,10,0,0,10,10,-1,9,0,10,-1,0,10
135,Apache,github.com/apache/cordova-plugins,4.9,10,0,0,0,0,10,10,0,0,0,0,-1,10,0,10,-1,10,10
